Company,Role,First Posted,Days Open,Tier,LinkedIn Band,Assoc. Employees,LinkedIn URL,B2B,Entity Risk,Primary ATS Link,Notes
Eon,SDR New York,2026-08-12,17,1 FRESH,51-200,,linkedin.com/company/eon-io,Yes,Resolved,https://job-boards.eu.greenhouse.io/eonio/jobs/4705904101,"Entity mismatch caught and corrected 2026-08-29. First link was eonhealth.bamboohr.com (Eon Health, unrelated). Correct board slug is eonio, job ID 4705904101 matches original sweep. EU Greenhouse instance. Confirm title=SDR and location=New York on open."
ModernFi,BDR New York,~2026-08-12,~17,1 FRESH,51-200,,linkedin.com/company/modernfi,Yes,Low,NEEDED,Fintech infra sold to banks and credit unions
Perfect Venue,BDR San Francisco,~2026-08-08,~21,1 FRESH,11-50,32,linkedin.com/company/perfect-venue,Yes,Low,NEEDED,Cleanest headcount evidence in the sweep
Doxel,SDR Austin,~2026-08-05,~24,1 FRESH,51-200,135,linkedin.com/company/doxel-sr-autonomous-inc.-,Yes,Low,NEEDED,Construction progress software
Waterworth,SDR Victoria BC,2026-08-06,23,1 FRESH,11-50,,,Yes,Low,NEEDED,Sells to municipalities
Runwise,SDR,2026-08-14,15,1 FRESH,51-200,,linkedin.com/company/wearerunwise,Yes,Low,https://job-boards.greenhouse.io/runwise/jobs/4402138006,"PRIMARY LINK CONFIRMED. Job ID matches original sweep. Date is aggregator-sourced - claim ""open since at least 2026-08-14"""
NewForm,BDR NYC,~2026-08-12,~17,1 FRESH,51-200,,linkedin.com/company/newformai,Yes,MEDIUM,NEEDED,"PROMOTED. Not ""New Form Entertainment"" - confirm entity"
Candid Health,BDR,2026-08-11,18,1 FRESH,51-200,,linkedin.com/company/candid-health,Yes,Low,NEEDED,PROMOTED - confirmed under 200
Archive,BDR,~2026-08-22,~7,1 FRESH,51-200,,linkedin.com/company/archiveresale,Yes,Low,https://www.archiveresale.com/about/careers?ashby_jid=65943db0-fdbf-454b-bb6c-ae49467411cc,PRIMARY LINK CONFIRMED on company domain - stronger than an ATS link. Ashby jid matches original sweep
Assured,BDR,2026-07-14,46,2 STRUGGLING,51-200,,linkedin.com/company/assured-health,Yes,HIGH,NEEDED,Two Assured companies. NYC healthcare AI vs Palo Alto claims. Confirm which posted
Formance,BDR NYC,~2026-07,30-60,2 STRUGGLING,11-50,,linkedin.com/company/formancehq,Yes,Low,NEEDED,Attractive size. Confirm exact first-post date
Coefficient,Founding SDRs,PRE-WINDOW,60-90?,2 STRUGGLING,51-200,,linkedin.com/company/coefficient-live-data-in-google-sheets-excel,Yes,HIGH,NEEDED,FOUNDING role. Not CoEfficient Labs / Coefficient Marketing
Assail,SDR Boston,2026-05-27,94,3 FAILED TO HIRE,11-50,20,linkedin.com/company/assailai,Yes,Low,NEEDED,Offensive-AI cybersecurity. 3 months open at 20 people
Trunk Tools,BDR Austin,MONTHS,120+,3 FAILED TO HIRE,51-200,,linkedin.com/company/trunktools,Yes,Low,NEEDED,Construction AI
Forus,BDR NYC,~2026-04/05,~120,3 FAILED TO HIRE,51-200,217,linkedin.com/company/forushq,Yes,Low,NEEDED,BAND/COUNT MISMATCH - band 51-200 but 217 associated
Sona,Founding BDR NYC,~2026-02,~200,3 FAILED TO HIRE,51-200,242,linkedin.com/company/getsona,Yes,Low,NEEDED,BAND/COUNT MISMATCH. Founding role open ~7 months
Coral AI,BDR,2026-04-25,126,3 FAILED TO HIRE,11-50,,linkedin.com/company/trycoral,Yes,MEDIUM,NEEDED,NYC healthcare founded 2024. Several unrelated Coral pages
Packmatic,SDR,2025-05-22,465,3 FAILED TO HIRE,CHECK,,,Yes,Low,NEEDED,15 months open and still live. Strongest failed-to-hire row found
Super Payments,SDR London,2026-03-05,177,3 FAILED TO HIRE,CHECK,,,Yes,Low,NEEDED,
Prismic,SDR London,~2026-05,~120,3 FAILED TO HIRE,CHECK,,,Yes,Low,NEEDED,
Growth Kitchen,SDR London,2026-05-11,110,3 FAILED TO HIRE,CHECK,,,Yes,Low,NEEDED,
GoodFit,SDR London,2026-02/05,90-200,3 FAILED TO HIRE,CHECK,,,Yes,Low,NEEDED,Removed and relisted
FirstMind,SDR London,~2026-04/06,90-140,3 FAILED TO HIRE,CHECK,,,Yes,Low,NEEDED,
Bigblue,Founding SDR Berlin,~2026-06,~60,2 STRUGGLING,CHECK,,,Yes,Low,NEEDED,FOUNDING role
Secfix,BDR SMB English,~2026-06,~60,2 STRUGGLING,11-50 (Wellfound),,,Yes,Low,NEEDED,Compliance software. Fresher German-language variants exist
Distro,SDR Atlanta,2026-07-03,57,2 STRUGGLING,CHECK,,,Yes,Low,NEEDED,
Flai,BDR,2026-07-24,36,2 STRUGGLING,CHECK,,,Yes,Low,NEEDED,
Mithrl,BDR,2026-07-20,40,2 STRUGGLING,CHECK,,,Yes,Low,NEEDED,Newer entry-level SDR signal also exists - recheck
Wheelhouse,SDR,~2026-06-25,~65,2 STRUGGLING,CHECK,,,Yes,Low,NEEDED,
Listen Labs,BDR,2026-06-09,81,2 STRUGGLING,CHECK,,,Yes,Low,NEEDED,
Decoda Health,BDR,2026-06-09,81,2 STRUGGLING,CHECK,,,Yes,Low,NEEDED,
Archera,SDR,2026-05-28,93,3 FAILED TO HIRE,CHECK,,,Yes,Low,NEEDED,
Bland,BDR,~2026-04,~150,3 FAILED TO HIRE,CHECK,,,Yes,Low,NEEDED,
SafetyKit,BDR,PREDATES,60-120?,3 FAILED TO HIRE,CHECK,,,Yes,Low,NEEDED,Confirm original date
Sequence,BDR,CONFLICTING,?,HOLD,51-200,,linkedin.com/company/sequence-hq,Yes,HIGH,NEEDED,4 LinkedIn pages share the name. Resolve entity before use
Noonlight,SDR Austin,CONFLICTING,?,HOLD,11-50,,linkedin.com/company/noonlight-safety,Yes,Low,NEEDED,Date sources disagree - one week vs one month
Feathery,BDR,2026-08-21,8,HOLD,CHECK,,,Yes,Low,NEEDED,Fresh - needs headcount only
Collective,BDR,2026-08-23,6,HOLD,CHECK,,,Yes,Low,NEEDED,Fresh - needs headcount only
Reducto,BDR,2026-08-26,3,HOLD,CHECK,,,Yes,Low,NEEDED,Fresh - needs headcount only
Sirius,BDR,2026-08-27,2,HOLD,CHECK,,,Yes,HIGH,NEEDED,a16z Speedrun churn/retention AI. Name highly ambiguous
Orbital,BDR,2026-08-22,7,HOLD,CHECK,,,Yes,Low,NEEDED,Fresh - needs headcount only
Happl,BDR London,~2026-08-24,~5,HOLD,CHECK,,,Yes,Low,NEEDED,Fresh - needs headcount only
Adaptive Security,BDR London,~2026-08-25,~4,HOLD,CHECK,,,Yes,Low,NEEDED,Fresh - needs headcount only
Clera,Senior BDR Munich,2026-08-21,8,HOLD,CHECK,,,Yes,Low,NEEDED,Fresh - needs headcount only
Alternative Payments,BDR Toronto,~2026-08-08,~21,HOLD,CHECK,,,Yes,Low,NEEDED,Fresh - needs headcount only
Aegis AI,BDR,IN WINDOW,<30,HOLD,CHECK,,,Yes,HIGH,NEEDED,Do NOT confuse with Aegis Technologies Group
Unison Infrastructure,SDR Denver,UNKNOWN,?,HOLD,CHECK,,,Yes,Low,NEEDED,No original date recovered
FacilityOS,BDR Toronto,UNKNOWN,?,HOLD,CHECK,,,Yes,Low,NEEDED,Date evidence weak
Dealops,Founding SDR SF,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,Low,NEEDED,Early sales-development hire
Hedge,Founding SDR SF,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,Low,NEEDED,Literal founding SDR
Teleskope,Founding SDR NYC,UNVERIFIED,?,FOUNDING QUEUE,CHECK,,,Yes,Low,NEEDED,Literal founding SDR
